Iteration,WindowSize,CompressionLevel,Performance
0,18,11,279.692
1,18,3,2.562
2,22,3,2.5
3,14,10,301.488
4,20,0,1.63
5,23,7,20.474
6,14,4,2.894
7,19,1,1.604
8,17,8,8.454
9,24,1,1.57
10,23,6,10.22
11,21,0,1.604
12,12,5,3.746
13,17,1,1.612
14,13,5,4.128
15,18,6,7.51
16,15,3,2.392
17,12,9,6.47
18,16,9,9.094
19,17,4,2.848
20,17,6,6.34
21,18,9,11.954
22,19,7,10.05
23,10,4,3.02
24,17,9,10.152
25,15,5,5.072
26,16,2,2.026
27,14,9,7.404
28,22,0,1.596
29,18,2,2.094
30,24,11,394.158
31,22,0,1.596
32,24,1,1.57
33,24,1,1.57
34,24,1,1.57
35,11,10,343.594
36,24,1,1.57
37,20,8,14.64
38,24,1,1.57
39,21,11,244.72
40,24,1,1.57
41,10,10,363.364
42,13,3,2.37
43,23,7,20.474
44,11,1,1.526
45,11,8,5.042
46,11,1,1.526
47,11,1,1.526
48,11,3,2.476
49,11,2,1.998
50,11,11,343.996
51,20,6,10.658
52,12,4,3.004
53,19,5,7.372
54,11,1,1.526
55,14,7,5.896
56,21,10,244.734
57,15,8,6.738
58,16,1,1.598
59,13,0,1.514
60,13,0,1.514
61,13,0,1.514
62,13,0,1.514
63,13,0,1.514
64,13,0,1.514
65,13,0,1.514
66,23,0,1.556
67,13,0,1.514
68,22,6,10.266
69,10,4,3.02
70,18,5,6.714
71,19,0,1.614
72,12,2,1.988
73,13,3,2.37
74,14,9,7.404
75,17,11,307.42
76,20,7,12.338
77,15,0,1.534
78,16,10,285.0
79,21,8,18.874
80,13,0,1.514
81,23,6,10.22
82,22,4,2.748
83,10,2,2.146
84,18,5,6.714
85,13,9,6.862
86,12,3,2.426
87,19,11,258.502
88,17,0,1.606
89,14,7,5.896
90,20,10,246.512
91,15,0,1.534
92,13,8,5.62
93,16,6,5.77
94,21,4,2.768
95,13,0,1.514
96,23,2,2.032
97,22,5,7.198
98,10,9,6.246
99,18,3,2.562
100,13,11,315.078
101,13,0,1.514
102,13,0,1.514
103,13,0,1.514
104,13,0,1.514
105,13,0,1.514
106,12,0,1.528
107,19,7,10.05
108,17,0,1.606
109,14,10,301.488
110,20,8,14.64
111,13,0,1.514
112,24,6,10.176
113,15,4,2.834
114,16,0,1.59
115,21,5,7.272
116,13,2,1.942
117,23,9,63.68
118,22,3,2.5
119,10,11,363.346
120,13,0,1.514
121,18,7,8.628
122,12,10,328.816
123,19,0,1.614
124,13,8,5.62
125,17,0,1.606
126,14,6,4.874
127,20,4,2.808
128,24,2,2.04
129,15,5,5.072
130,13,0,1.514
