Iteration,new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
0,5,0,1,1,0,20,2048,6,47685.0
1,4,1,0,0,0,20,8,8,49386.2
2,5,1,1,1,1,10,64,4,9204.0
3,2,1,1,0,1,70,512,4,4383.4
4,1,0,1,1,1,50,16,10,105339.2
5,5,0,1,0,1,70,512,2,9148.8
6,1,0,1,1,1,50,1024,2,17775.0
7,4,0,0,0,1,20,128,4,13799.8
8,4,0,0,0,0,60,8,2,9190.4
9,1,1,1,0,0,60,4096,4,11786.0
10,5,0,0,0,0,20,4096,4,9130.4
11,5,0,1,1,0,10,2048,6,47551.6
12,2,1,1,0,1,80,512,2,4702.8
13,3,0,0,0,1,10,8,10,48194.8
14,5,0,1,1,0,30,8,8,121661.0
15,2,1,1,1,0,0,32,2,17836.8
16,3,0,0,1,1,20,4096,6,10945.6
17,2,1,0,1,1,70,512,0,17657.0
18,1,0,0,0,1,0,4096,8,85544.4
19,3,0,0,0,1,50,16,0,12282.2
20,3,1,1,0,0,0,32,4,15898.4
21,2,0,1,1,0,30,16,8,105143.0
22,2,1,0,0,1,0,2,10,85502.2
23,4,1,0,0,1,20,16,10,127373.4
24,4,0,0,1,0,90,1024,6,49558.6
25,2,1,1,0,0,70,2048,6,84704.6
26,4,0,1,1,1,40,4,0,35808.0
27,2,0,1,1,0,0,64,6,123861.8
28,2,1,1,0,0,100,8,10,86159.0
29,2,0,0,0,0,90,2048,4,4334.2
30,2,1,0,0,0,90,256,4,4360.2
31,2,1,0,0,0,90,256,4,4360.2
32,2,1,0,0,0,90,1,4,14755.6
33,2,1,0,0,0,90,256,4,4360.2
34,2,1,0,0,0,90,256,4,4360.2
35,1,1,0,0,0,90,2048,4,11764.6
36,2,1,0,0,0,80,128,4,4306.6
37,2,0,0,0,0,80,128,4,4334.0
38,5,0,0,0,0,80,128,0,9192.0
39,1,1,0,0,0,80,128,4,11872.4
40,3,0,0,0,0,80,128,8,38377.0
41,2,0,0,0,0,80,128,4,4334.0
42,5,1,0,0,0,80,128,2,9169.6
43,4,0,0,0,0,40,1,4,20264.6
44,1,1,0,0,0,100,4,4,12459.0
45,2,0,0,0,0,60,2,2,7443.6
46,5,0,0,0,0,80,64,8,120865.6
47,2,1,0,0,0,10,128,0,5738.4
48,3,0,0,1,0,50,1024,10,48705.6
49,2,1,0,0,0,80,128,4,4306.6
50,1,1,0,0,1,30,32,4,11942.2
51,4,1,0,1,0,60,512,2,35967.6
52,5,1,0,0,0,80,128,6,47632.0
53,3,1,1,0,1,100,2,8,39165.6
54,2,1,0,1,0,70,1,4,15289.4
55,2,1,0,0,1,40,4,0,5542.0
56,4,1,1,0,0,10,4096,10,144205.2
57,2,1,0,1,0,50,64,6,91033.0
58,1,1,0,0,1,20,1024,4,12008.0
59,3,1,1,0,0,80,128,2,12219.2
60,5,1,0,1,0,30,8,8,121316.0
61,2,1,0,0,1,80,16,10,95181.6
62,2,1,1,0,0,70,32,4,4733.2
63,4,1,0,0,0,60,512,0,8934.6
64,2,1,0,1,0,20,128,4,12081.0
65,3,1,1,0,1,40,4096,6,10628.8
66,2,1,0,0,0,10,2,4,12892.2
67,1,1,0,1,0,0,2048,2,17945.4
68,2,1,1,0,0,80,128,4,4304.8
69,5,1,1,0,1,100,8,10,298534.2
70,2,1,1,0,0,50,4,8,81369.4
71,4,1,1,0,0,30,16,0,9038.8
72,2,1,1,1,0,80,64,4,11855.6
73,3,1,1,0,1,80,1,6,18310.8
74,1,1,1,0,0,70,1024,4,11844.0
75,2,1,1,0,0,0,128,4,18036.8
76,5,1,1,1,0,20,256,2,9371.4
77,2,1,1,0,0,80,32,10,99865.8
78,4,0,1,0,1,60,512,4,12910.2
79,2,1,1,0,0,40,128,8,101632.4
80,1,1,1,0,0,100,2048,0,17738.8
81,2,0,1,1,0,10,4096,4,12408.4
82,3,1,1,0,1,80,128,6,10650.8
83,5,1,1,0,0,50,2,4,9147.2
84,2,0,1,0,0,30,8,2,5182.2
85,4,1,1,1,0,80,4,4,43274.0
86,2,1,1,0,1,0,128,8,85558.0
87,1,0,1,0,0,70,16,10,95140.0
88,2,1,1,0,0,80,1,0,11178.4
89,3,1,0,1,0,60,256,4,12117.0
90,5,1,0,0,1,20,64,6,47701.4
91,2,0,1,0,0,40,1024,4,4593.6
92,4,1,0,0,0,90,128,2,8915.2
93,2,1,1,1,0,80,32,4,11856.0
94,2,0,0,0,1,100,512,8,101597.6
95,1,1,0,0,0,10,128,10,99775.6
96,3,1,1,0,0,50,2048,0,12092.6
97,5,1,0,1,0,30,4096,4,9211.0
98,2,0,0,0,1,80,2,6,73668.6
99,4,1,1,0,0,70,128,4,12899.2
100,2,1,0,0,0,80,4,2,5503.6
101,2,1,0,0,0,80,128,4,4306.6
102,2,1,0,0,0,80,128,4,4306.6
103,2,1,0,0,0,80,128,4,4306.6
104,2,1,0,0,0,80,128,4,4306.6
105,2,1,0,0,0,80,128,4,4306.6
106,2,1,0,0,0,80,8,4,9026.2
107,2,1,0,0,0,0,16,4,18031.4
108,2,1,0,0,0,90,1,4,14755.6
109,2,1,0,0,0,60,64,4,4374.2
110,2,1,0,0,0,20,128,4,4970.2
111,2,1,0,0,0,80,256,10,101758.2
112,1,1,0,0,0,40,1024,8,101680.2
113,3,1,0,0,0,100,32,0,12235.6
114,2,1,0,0,0,10,128,4,5780.6
115,5,1,0,0,0,50,512,6,47595.0
116,2,1,0,0,0,80,2048,4,4309.2
117,4,1,1,1,0,30,128,4,43519.6
118,2,1,0,0,1,80,4096,2,4720.0
119,1,0,1,0,0,70,2,10,80402.0
120,3,1,0,0,0,0,128,8,44434.0
121,2,1,1,1,0,80,8,4,12207.4
122,5,1,0,0,1,60,4,0,9110.0
123,2,0,1,0,0,90,16,4,5022.6
124,4,1,0,0,0,20,1,6,34470.6
125,2,1,1,1,0,40,256,4,11928.0
126,2,1,0,0,0,80,64,2,4740.0
127,1,0,0,0,1,100,1024,4,11735.2
128,3,1,1,0,0,10,128,8,39470.6
129,2,1,0,0,0,50,32,10,99720.2
130,5,1,1,1,0,80,512,4,9260.8
131,2,1,0,0,1,30,128,0,4861.6
132,4,0,1,0,0,80,2048,6,19411.8
133,2,1,0,0,0,70,128,4,4399.8
134,1,1,0,0,0,0,4096,4,18453.6
135,2,1,1,1,0,80,2,2,17554.6
136,3,1,0,0,1,60,4,4,13036.4
137,2,0,1,0,0,90,128,8,100577.6
138,5,1,0,0,0,20,8,10,300349.4
139,2,1,0,0,0,40,16,4,4840.4
140,4,1,1,1,0,80,1,0,35800.0
141,2,1,0,0,1,100,64,6,89398.0
142,2,0,1,0,0,10,256,4,5733.0
143,1,1,0,0,0,50,128,4,11881.4
144,3,1,0,0,0,80,1024,2,12277.2
145,2,1,1,1,0,30,32,4,11940.0
146,5,1,0,0,1,80,128,10,299607.0
147,2,0,1,0,0,70,512,8,100566.4
148,4,1,0,0,0,0,2048,4,22061.0
149,2,1,0,0,0,80,128,0,4717.2
150,2,1,1,1,0,60,4096,4,11821.2
151,1,1,0,0,1,90,2,6,73359.8
152,3,0,1,0,0,20,128,4,12336.2
153,2,1,0,0,0,80,4,2,5503.6
154,5,1,0,0,0,40,8,4,9221.4
155,2,1,1,1,0,100,16,8,105441.6
156,4,1,0,0,1,10,1,10,267071.0
157,2,0,1,0,0,80,128,4,4280.4
158,2,0,1,0,0,50,64,4,4548.6
159,1,0,1,0,0,80,256,0,17760.4
160,2,0,1,0,0,30,128,6,88548.8
161,3,0,1,1,0,80,1024,4,12087.8
162,2,0,1,0,1,70,32,4,4704.0
163,5,0,1,0,0,0,512,2,9201.2
164,2,0,1,0,0,80,128,4,4280.4
165,4,0,1,0,0,60,2048,8,39313.8
166,2,0,1,1,0,90,128,10,102860.4
167,2,0,1,0,1,20,4096,4,4954.4
168,1,0,1,0,0,80,2,0,17616.8
169,3,0,1,0,0,40,128,4,12040.2
170,2,0,1,0,0,100,4,6,72746.2
171,5,0,1,1,0,10,8,4,9157.2
172,2,0,1,0,1,80,16,2,4991.8
173,4,0,1,0,0,50,1,4,20163.2
174,2,0,1,0,0,30,128,8,100399.4
175,2,0,1,0,0,80,64,10,101571.8
176,1,0,1,1,0,70,256,4,11783.8
177,3,0,1,0,0,80,1024,0,12184.8
178,2,0,1,0,1,0,128,4,18010.6
179,5,0,1,0,0,60,32,6,47785.8
180,2,0,1,0,0,90,512,4,4307.4
181,4,0,1,1,0,20,128,2,35704.6
182,2,0,1,0,0,80,2048,4,4291.8
183,2,0,1,0,1,40,2048,4,4585.0
184,1,0,1,0,0,80,2048,10,101669.6
185,2,0,1,0,0,100,2048,8,101720.0
186,3,0,1,0,0,10,2048,4,12495.0
187,2,0,1,1,0,50,2048,0,17677.8
188,5,0,1,0,1,80,2048,4,9197.8
189,2,0,1,0,0,30,2048,6,88631.8
190,4,0,1,0,0,80,4096,4,12770.4
191,2,0,1,0,0,70,2,2,7436.2
192,2,0,1,1,0,0,2048,4,18488.6
193,1,0,1,0,1,80,4,8,81065.6
194,3,0,1,0,0,60,8,10,47330.6
195,2,0,1,0,0,90,16,4,5022.6
196,5,0,1,0,0,20,1,0,9173.2
197,2,0,1,1,0,80,64,4,11850.2
198,4,0,1,0,1,40,256,6,20036.0
199,2,0,1,0,0,100,1024,4,4376.4
200,2,0,1,0,0,10,32,2,5799.0
201,1,0,1,0,0,80,512,4,11773.4
202,3,0,1,1,0,50,2048,8,38028.2
203,2,0,1,0,1,30,4096,10,100480.8
204,5,0,1,0,0,80,2,4,9134.6
205,2,0,1,0,0,70,4,0,5503.4
206,4,0,1,0,0,0,8,4,22083.6
207,2,0,1,1,0,80,16,6,93947.2
208,2,0,1,0,1,60,2048,4,4424.6
209,1,0,1,0,0,90,1,2,17602.6
210,3,0,1,0,0,20,64,4,12110.0
211,2,0,1,0,0,80,256,8,101186.0
212,5,0,1,1,0,40,1024,10,301895.8
213,2,0,1,0,1,100,32,4,4628.6
214,4,0,1,0,0,10,512,0,9243.6
215,2,0,1,0,0,80,2048,4,4291.8
216,2,0,1,0,0,50,4096,6,88954.0
217,1,0,1,1,0,30,2,4,13252.8
218,3,0,1,0,0,80,128,2,12184.6
219,2,0,1,0,1,70,4,4,11955.0
220,5,0,1,0,0,80,8,8,121984.2
221,2,0,1,0,0,0,16,10,85261.0
222,4,0,1,1,0,60,1,4,42772.8
223,2,0,1,0,0,90,2048,0,4662.8
224,2,0,1,0,1,20,128,4,4964.6
225,1,0,1,0,0,80,64,6,89517.4
226,2,0,1,0,0,80,2048,4,4291.8
227,2,0,1,0,0,80,2048,4,4291.8
228,2,0,1,0,0,80,2048,4,4291.8
229,2,0,1,0,0,80,2048,4,4291.8
230,2,0,1,0,0,80,2048,4,4291.8
231,2,0,1,0,0,80,2048,4,4291.8
232,2,0,1,0,0,80,2048,4,4291.8
233,2,0,1,0,0,80,2048,4,4291.8
234,2,0,1,0,0,80,2048,4,4291.8
235,2,0,1,0,0,80,256,4,4300.4
236,2,0,1,0,0,40,1024,4,4593.6
237,2,0,1,0,0,100,32,4,4597.0
238,2,0,1,0,0,80,128,4,4280.4
239,2,0,1,0,0,10,128,4,5753.4
240,2,0,1,0,0,50,128,4,4556.6
241,2,0,1,0,0,80,128,4,4280.4
242,2,0,1,0,0,30,128,2,4834.2
243,3,0,1,0,0,80,128,4,12259.4
244,2,0,1,0,0,70,128,8,100424.4
245,5,0,1,0,0,0,128,10,300850.0
246,2,0,1,0,0,80,128,4,4280.4
247,4,0,1,0,0,60,128,4,12860.6
248,2,0,1,0,0,90,128,0,4705.0
249,2,0,1,0,0,20,128,6,89307.2
250,1,0,1,0,0,80,128,4,11799.8
251,3,0,1,0,0,40,128,4,12040.2
252,2,0,1,1,0,100,128,2,17647.0
253,5,0,1,0,1,80,128,4,9189.6
254,2,0,1,0,0,10,128,8,99468.2
255,2,0,1,0,0,50,128,10,101449.0
256,4,0,1,0,0,80,512,4,12806.0
257,2,0,1,1,0,30,128,0,17668.6
258,1,0,1,0,0,70,4096,4,11797.2
259,2,0,1,0,1,80,2,6,73795.4
260,3,0,1,0,0,0,128,4,15849.0
261,2,0,1,0,0,60,4,2,5412.4
262,5,0,1,0,0,80,8,4,9182.2
263,2,0,1,1,0,90,16,4,11889.6
264,4,0,1,0,1,20,128,8,41841.2
265,2,0,1,0,0,80,1,10,83528.6
266,2,0,1,0,0,40,64,4,4574.4
267,1,0,1,0,0,100,256,0,17736.4
268,2,0,1,0,0,80,128,4,4280.4
269,3,0,1,1,0,10,1024,6,11763.2
270,2,0,1,0,0,80,128,4,4280.4
271,2,0,1,0,1,50,32,4,4647.8
272,5,0,1,0,0,30,512,2,9144.4
273,2,0,1,0,0,80,128,4,4280.4
274,4,0,1,0,0,70,4096,8,39456.8
275,2,0,1,1,0,80,2,10,117294.4
276,2,0,1,0,0,0,128,4,17965.6
277,1,0,1,0,1,60,4,0,17697.8
278,2,0,1,0,0,90,8,4,9074.8
279,3,0,1,0,0,20,16,6,11203.0
280,2,0,1,0,0,80,128,4,4280.4
281,5,0,1,1,0,40,1,4,9097.8
282,2,0,1,0,0,80,64,2,4723.0
283,4,0,1,0,1,100,256,4,12731.4
284,2,0,1,0,0,10,128,8,99468.2
285,2,0,1,0,0,80,1024,4,4292.8
286,1,0,1,0,0,50,32,10,99804.6
287,2,0,1,1,0,30,128,4,11976.8
288,3,0,1,0,0,80,512,0,12148.6
289,2,0,1,0,1,70,128,4,4421.4
290,5,0,1,0,0,80,4096,6,47699.0
291,2,0,1,0,0,0,128,4,17965.6
292,4,0,1,0,0,60,2,2,9527.0
293,2,0,1,0,0,80,4,4,11938.0
294,2,0,1,1,0,90,8,4,12227.6
295,1,0,1,0,1,20,128,8,101293.2
296,2,0,1,0,0,80,16,10,95369.2
297,3,0,1,0,0,40,1,4,14311.8
298,2,0,1,0,0,100,64,0,4647.4
299,5,0,1,0,0,80,128,4,9151.8
